UAT ID,Module / Process,Test Scenario,Business Objective,Persona,Preconditions,Test Data,Navigation,Step-by-Step User Actions,Expected Result,Expected Status,Expected Notification,Expected Next User,Security / SoD Expectation,Evidence Required,Actual Result,Result,Defect ID,Tester,Execution Date,Comments
IA-UAT-RSK-004,Risk Assessment,Risk-based audit priority,Confirm risk rating drives audit priority and candidate generation,Head of Internal Audit (audit.hia),Risk assessments complete,UAT risks,Internal Audit > Audit Plans > generate candidates,1. Generate plan candidates. 2. Compare the ordering with the risk bands.,High risk entities are prioritised for audit,Draft,No,Same user,-,Screenshot of candidates,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PLN-001,Annual Audit Plan,Create the UAT annual plan,Confirm an annual plan can be created for a fiscal year,Head of Internal Audit (audit.hia),No plan exists for the UAT year,UAT-IA-2030-01,Internal Audit > Audit Plans > New,"1. Create a plan for the UAT fiscal year. 2. Enter title, objective, scope and methodology. 3. Save as draft.",Plan is created in Draft with the UAT reference,Draft,No,Lead Auditor,Only planning roles may create plans,Screenshot of the draft plan,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PLN-002,Annual Audit Plan,Add engagements to the plan,Confirm the plan can carry the UAT portfolio,Lead Auditor (audit.lead),Draft plan exists,"8-10 UAT engagements across Benefits, Compliance and Finance",Audit Plans > open plan > Engagements,1. Add engagements for the three departments with objectives and audit types. 2. Save.,All UAT engagements are listed against the plan,Draft,No,Same user,-,Screenshot of the engagement list,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PLN-003,Annual Audit Plan,Planned quarter and effort,Confirm scheduling and effort can be planned,Lead Auditor (audit.lead),Engagements added,"Quarter, planned days",Audit Plans > engagement row,1. Set planned quarter and planned days/hours for each engagement. 2. Save.,Planned quarter and effort are stored and totalled,Draft,No,Same user,-,Screenshot of totals,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PLN-004,Annual Audit Plan,Lead and reviewer assignment,Confirm resourcing is captured,Lead Auditor (audit.lead),Auditors registered,Lead and reviewer,Audit Plans > engagement row,1. Assign a Lead Auditor and a reviewer per engagement. 2. Save.,Assignments are stored and visible in the plan,Draft,No,Assigned auditors,Reviewer must differ from the Lead,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PLN-005,Annual Audit Plan,Capacity check,Confirm the plan warns when capacity is exceeded,Head of Internal Audit (audit.hia),Effort planned,Planned vs available hours,Internal Audit > Workload & Capacity,1. Review planned hours against available capacity.,Over-allocation is visible to the planner,Draft,No,Same user,-,Screenshot of capacity view,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PLN-006,Annual Audit Plan,Submit the plan for approval,Confirm the plan enters the approval queue,Lead Auditor (audit.lead),Plan complete in Draft,UAT-IA-2030-01,Audit Plans > Submit,1. Submit the plan for approval. 2. Confirm.,Plan status becomes Submitted and appears in the approval queue,Submitted,Yes - Head of Internal Audit,Head of Internal Audit,Preparer cannot approve,Screenshot and notification evidence,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PLN-007,Annual Audit Plan,Reject the plan with reason,Confirm rejection returns the plan for revision,Head of Internal Audit (audit.hia),Plan submitted,Rejection reason,Internal Audit > Plan Approval,1. Open the submitted plan. 2. Reject with a reason.,Plan returns to the preparer with the reason recorded,Rejected,Yes - Lead Auditor,Lead Auditor,Reason must be mandatory,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PLN-008,Annual Audit Plan,Revise and resubmit,Confirm the revision loop works and versions increment,Lead Auditor (audit.lead),Plan rejected,Revised plan,Audit Plans > open plan,1. Amend the plan. 2. Resubmit.,Plan returns to Submitted and the version number increases,Submitted,Yes - Head of Internal Audit,Head of Internal Audit,-,Screenshot of version history,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PLN-009,Annual Audit Plan,Approve the annual plan,Confirm approval by the Head of Internal Audit,Head of Internal Audit (audit.hia),Plan submitted,UAT-IA-2030-01,Internal Audit > Plan Approval,1. Open the plan. 2. Approve with comments.,Plan becomes Approved with approver and date recorded and the version history is retained,Approved,Yes - Lead Auditor and audit team,Lead Auditor,Only the Head of Internal Audit may approve,Screenshot of approved plan,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SCH-001,Audit Scheduling & Intimation,Schedule a planned engagement,Confirm an approved engagement can be scheduled,Lead Auditor (audit.lead),Plan approved,ENG-UAT-2030-001,Internal Audit > Audits > engagement,"1. Open the engagement. 2. Enter planned start and end dates, scope and auditee contact. 3. Schedule.",Engagement status becomes Scheduled with a schedule version,Scheduled,Yes - auditee department,Auditee management,Only the Lead may schedule,Screenshot with dates,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SCH-002,Audit Scheduling & Intimation,Formal intimation to the auditee,Confirm the auditee is formally informed,Lead Auditor (audit.lead),Engagement scheduled,"Benefits, Compliance and Finance engagements",Audits > engagement > Communications,1. Confirm intimation is issued. 2. Sign in as the auditee and open the notification.,Auditee receives an intimation carrying the correct dates and scope and can open the engagement workspace,Scheduled,Yes - Email and in-app,Auditee management,Only the audited department is informed,Notification screenshot for each department,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-SCH-003,Audit Scheduling & Intimation,Reschedule and cancel controls,Confirm date changes are controlled,Lead Auditor (audit.lead),Engagement scheduled,Reschedule reason,Audits > engagement > Reschedule,1. Attempt to reschedule without a reason. 2. Reschedule with a reason. 3. Cancel a different engagement with a reason.,Reschedule without a reason is refused; with a reason the change and its history are recorded and the auditee is re-notified,Rescheduled,Yes - auditee,Auditee management,Reason is mandatory,Screenshots of both attempts,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PRP-001,Audit Preparation,Preparation checklist and entrance meeting,Confirm preparation can be completed,Lead Auditor (audit.lead),Engagement scheduled,"Scope, objectives, period, team",Audits > engagement > Preparation,"1. Complete scope, objectives, audit period and team. 2. Record the entrance meeting. 3. Mark preparation complete.",Preparation is recorded and the engagement can advance,In Preparation to Fieldwork,Yes - audit team and auditee,Audit team,-,Screenshot of preparation tab,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-PRP-002,Audit Preparation,Incomplete preparation blocks progress,Confirm the lifecycle gate works,Lead Auditor (audit.lead),Preparation incomplete,-,Audits > engagement,1. Attempt to advance to fieldwork with preparation incomplete.,Progression is refused and the outstanding items are listed,Denied,No,Same user,-,Screenshot of the block message,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-INF-001,Information Requests,Raise an information request,Confirm the auditor can request information with a due date,Audit Team Member 1 (audit.auditor1),Engagement in preparation or fieldwork,UAT information request,Audits > engagement > Information Requests,1. Create a request describing the information required. 2. Set a due date. 3. Issue it.,Request is issued and visible to the auditee,Issued,Yes - auditee,Auditee management,Only the audited department receives it,Screenshot with request reference,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-INF-002,Information Requests,Auditee supplies information,Confirm the auditee can respond with attachments,Benefits Management / Auditee (audit.mgmt.benefits),Request issued,Attachment,Management workspace > Information Requests,1. Open the request. 2. Upload the information and submit.,Submission is recorded and the auditor is informed,Submitted,Yes - requesting auditor,Requesting auditor,Auditee sees only its own requests,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-INF-003,Information Requests,Auditor requests clarification,Confirm the clarification loop,Audit Team Member 1 (audit.auditor1),Information submitted,Clarification note,Audits > engagement > Information Requests,1. Review the submission. 2. Request clarification with a note.,Request returns to the auditee with the clarification note,Clarification Requested,Yes - auditee,Auditee management,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-INF-004,Information Requests,Request fulfilled and reminders stop,Confirm terminal state stops chasing,Audit Team Member 1 (audit.auditor1),Clarification supplied,-,Audits > engagement > Information Requests,1. Accept the clarification and mark the request fulfilled. 2. Review reminders afterwards.,Request is Fulfilled and no further due or overdue reminders are produced,Fulfilled,No further reminders,-,-,Screenshot and reminder history,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-QRY-001,Auditor / Auditee Query Cycle,Auditor query and management reply,Confirm the query cycle is a two-way business conversation,Audit Team Member 1 (audit.auditor1),Fieldwork in progress,UAT query,Audits > engagement > Queries,1. Raise a query to the auditee. 2. Sign in as management and reply. 3. Return as auditor and read the reply.,"The reply is presented as a management response, not as a reminder",Answered,Yes - both directions,Auditor then management,Only the audited department participates,Screenshot of the thread,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-QRY-002,Auditor / Auditee Query Cycle,Query resolution and history,Confirm the conversation history is retained,Audit Team Member 1 (audit.auditor1),Query answered,-,Audits > engagement > Queries,1. Request further clarification. 2. Receive the second reply. 3. Resolve the query.,Full chronological history with author and date is retained,Resolved,No,-,-,Screenshot of history,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-RCM-001,RCM / Audit Programme,Build the risk and control matrix,"Confirm process, risk and control can be captured",Audit Team Member 1 (audit.auditor1),Engagement in preparation,UAT process/risk/control,Audits > engagement > Programme / RCM,1. Add a process. 2. Add a risk to the process. 3. Add a control to the risk.,The matrix is built and linked correctly,Draft,No,Same user,-,Screenshot of the matrix,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-RCM-002,RCM / Audit Programme,Audit objectives and procedures,Confirm the audit programme is derived from the matrix,Audit Team Member 1 (audit.auditor1),Matrix built,UAT procedure,Audits > engagement > Programme,1. Add an audit objective. 2. Add procedures with expected evidence. 3. Assign an auditor and reviewer.,"Procedures carry owner, reviewer and expected evidence",Draft,Yes - assigned auditor,Assigned auditor,Performer and reviewer must differ,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-RCM-003,RCM / Audit Programme,Transition to fieldwork,Confirm the programme gate,Lead Auditor (audit.lead),Programme complete,-,Audits > engagement,1. Advance the engagement to fieldwork.,Fieldwork is opened only when the programme is complete,Fieldwork,Yes - audit team,Audit team,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-FLD-001,Fieldwork & Control Testing,Assigned work is visible,Confirm the team member sees their own assignments,Audit Team Member 2 (audit.auditor2),Procedures assigned,-,Action Centre > My Work,1. Sign in as Audit Team Member 2. 2. Open assigned work.,Only assignments for this auditor are listed,Read-only pass,No,-,No other auditor's work is shown,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-FLD-002,Fieldwork & Control Testing,Record an effective control test,Confirm a satisfactory test result can be recorded,Audit Team Member 1 (audit.auditor1),Procedure assigned,Effective result,Audits > engagement > Control Testing,"1. Open the procedure. 2. Record sample, work performed and an effective conclusion. 3. Save.",Result and conclusion are recorded with performer and date,Completed,No,Reviewer,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-FLD-003,Fieldwork & Control Testing,Record an ineffective control with exception,Confirm exceptions flow to findings,Audit Team Member 1 (audit.auditor1),Procedure assigned,Ineffective result,Audits > engagement > Control Testing,1. Record an ineffective conclusion with an exception description. 2. Save.,Exception is recorded and can be raised as a finding,Completed with exception,No,Lead Auditor,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-FLD-004,Fieldwork & Control Testing,Fieldwork progress reflects work done,Confirm progress reporting is truthful,Lead Auditor (audit.lead),Some tests complete,-,Audits > engagement > Overview,1. Review the fieldwork progress indicator against completed procedures.,Progress corresponds to completed procedures,Fieldwork,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-EVD-001,Evidence & Working Papers,Attach evidence and create a working paper,Confirm the evidence chain,Audit Team Member 1 (audit.auditor1),Test recorded,UAT evidence file,Audits > engagement > Evidence,1. Upload evidence with a description and date. 2. Link it to the test and to a working paper.,"Evidence is stored with uploader, date, description and links",Saved,No,Reviewer,Evidence is visible to the audit team only,Screenshot of the evidence record,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-EVD-002,Evidence & Working Papers,Evidence is mandatory where required,Confirm the negative case,Audit Team Member 1 (audit.auditor1),Procedure requiring evidence,-,Audits > engagement > Control Testing,1. Attempt to conclude a procedure that requires evidence without attaching any. 2. Attempt to attach evidence belonging to another engagement.,Both attempts are refused with a clear business message,Denied,No,-,Cross-engagement evidence must be refused,Screenshots of both refusals,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-FND-001,Findings,Raise a finding,Confirm a complete finding can be recorded,Audit Team Member 1 (audit.auditor1),Exception recorded,UAT finding,Audits > engagement > Findings,"1. Create a finding with condition, criteria, cause, effect and recommendation. 2. Set severity. 3. Save.",Finding is saved in draft with a reference,Draft,No,Lead Auditor,Auditee cannot see draft findings,Screenshot with finding reference,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-FND-002,Findings,Lead review and release,Confirm findings are reviewed before release,Lead Auditor (audit.lead),Draft finding,-,Audits > engagement > Findings,1. Review the draft finding. 2. Release it for management response with a response due date.,Finding becomes released and a response is requested,Released,Yes - auditee management,Auditee management,Only the audit team may release,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-FND-003,Findings,Severity change requires a rationale,Confirm the mandatory reason,Lead Auditor (audit.lead),Released finding,New severity,Findings > open finding,1. Change severity without a reason. 2. Change severity with a rationale.,The first attempt is refused; the second is applied and the previous severity is retained in history with actor and date,Amended,Yes - auditee,Auditee management,Reason mandatory,Screenshots of refusal and history,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-FND-004,Findings,Critical and high findings are prominent,Confirm severity visibility,Head of Internal Audit (audit.hia),Findings exist,-,Registers > Findings,1. Filter for high and critical findings.,High and critical findings are clearly identified and countable,Read-only pass,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-FND-005,Findings,Clean audit has no findings,Confirm UAT-A,Lead Auditor (audit.lead),Clean engagement completed,ENG-UAT clean,Audits > engagement > Findings,1. Complete the engagement with no exceptions. 2. Review the findings tab.,No findings exist and the engagement can still progress to reporting,Fieldwork complete,No,Quality Reviewer,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-MRS-001,Management Response,Management sees the released finding,Confirm the auditee receives the finding,Benefits Management / Auditee (audit.mgmt.benefits),Finding released,-,Management workspace > Findings,1. Sign in as Benefits Management. 2. Open the finding.,Finding and response due date are visible,Response Requested,Yes,Auditee management,Only the audited department sees it,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-MRS-002,Management Response,Submit an accepted response,Confirm the ordinary response path,Benefits Management / Auditee (audit.mgmt.benefits),Finding released,Accepted response,Management workspace > Findings > Respond,1. Record acceptance with an action commitment and target date. 2. Submit.,Response is recorded and the audit team is informed,Submitted,Yes - audit team,Lead Auditor,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-MRS-003,Management Response,Return a response for clarification,Confirm the returned-response loop (UAT-C),Lead Auditor (audit.lead),Response submitted,Return reason,Audits > engagement > Responses,1. Return the response with a reason. 2. Sign in as management and resubmit.,"Return requires a reason, management is informed and the resubmission is versioned",Returned then Resubmitted,Yes - both directions,Auditee then audit team,Reason mandatory,Screenshots of both steps,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-MRS-004,Management Response,Accept the response,Confirm acceptance closes the response step,Lead Auditor (audit.lead),Response resubmitted,-,Audits > engagement > Responses,1. Accept the response.,"Response is accepted, history retained and corrective actions can be raised",Accepted,Yes - auditee,Auditee management,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-MRS-005,Management Response,Management disagreement retained (UAT-D),Confirm disagreement handling,Compliance Management / Auditee (audit.mgmt.compliance),Finding released to Compliance,Disagreement rationale,Management workspace > Findings > Respond,"1. Disagree with the finding and supply a rationale. 2. As audit, retain the finding with the disagreement recorded and escalate.","Rationale is mandatory, both positions are retained and the disposition Retained with Disagreement is available",Retained with Disagreement,Yes - both directions,Head of Internal Audit,Management cannot delete or amend the finding,Screenshot of both positions,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ACT-001,Corrective Actions,Create a corrective action from a recommendation,Confirm traceability from the finding,Lead Auditor (audit.lead),Response accepted,UAT action,Audits > engagement > Actions,"1. Create an action from the recommendation. 2. Set owner, department and target date. 3. Save.",Action is created and linked to the finding and recommendation,Open,Yes - action owner,Action owner,-,Screenshot with action reference,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ACT-002,Corrective Actions,Owner receives the assignment,Confirm the owner is informed,Benefits Management / Auditee (audit.mgmt.benefits),Action created,-,Management workspace > Actions,1. Sign in as the owner. 2. Open the assignment notification and the action.,The assignment reaches the correct owner with a working link,Open,Yes - Email and in-app,Action owner,Other departments are not informed,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ACT-003,Corrective Actions,Progress update,Confirm progress can be reported,Benefits Management / Auditee (audit.mgmt.benefits),Action open,Progress note,Management workspace > Actions,1. Record progress with a note and percentage. 2. Save.,Progress and history are recorded,In Progress,No,-,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ACT-004,Corrective Actions,Extension requires a reason,Confirm the extension control,Benefits Management / Auditee (audit.mgmt.benefits),Action open,Extension request,Management workspace > Actions > Extend,1. Request an extension with no reason. 2. Request an extension with a valid reason and new date.,The first is refused; the second is submitted for independent approval,Extension Requested,Yes - approver,Approver,Owner cannot approve their own extension,Screenshots of both attempts,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ACT-005,Corrective Actions,Extension approval keeps history,Confirm dates are auditable,Lead Auditor (audit.lead),Extension requested,-,Audits > engagement > Actions,1. Approve the extension.,"Original target date is retained historically, the current date changes and the reason is kept",Extended,Yes - owner,Action owner,Independent approver required,Screenshot showing both dates,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ACT-006,Corrective Actions,Overdue action and escalation (UAT-E),Confirm chasing works,Finance Management / Auditee (audit.mgmt.finance),Action past due,Overdue action,Action Centre > Overdue,1. Review the overdue action. 2. Confirm reminder and escalation records.,"Action shows overdue, the owner is reminded and escalation reaches the audit lead",Overdue,Yes - owner then escalation,Action owner then Lead Auditor,-,Screenshot and communication history,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ACT-007,Corrective Actions,Management cannot verify its own action,Mandatory segregation of duties,Benefits Management / Auditee (audit.mgmt.benefits),Action completed by management,-,Management workspace > Actions,1. Submit completion with evidence. 2. Attempt to verify the action.,"Completion is accepted, self-verification is refused",Denied,No,Audit verifier,Self-verification forbidden,Screenshot of refusal,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ACT-008,Corrective Actions,Independent verification and closure,Confirm the audit team closes actions,Audit Team Member 1 (audit.auditor1),Completion submitted,Verification note,Audits > engagement > Actions,1. Review the evidence. 2. Reject once with a reason and let management resubmit. 3. Verify and close.,Rejection and resubmission are recorded and closure is only performed by the audit team,Closed,Yes - owner,Action owner,Only audit may close,Screenshots of rejection and closure,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
